scenario,source,p,method_family,candidate_label,rank,rank_threshold_constant,lambda_reg,beta_scale,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy,selected
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.5,40,0.5,,,10001,141.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.5,40,0.5,,,10001,231.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=1,40,1.0,,,10001,141.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=1,40,1.0,,,10001,231.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=0.1,beta=0.25",300,,0.1,0.25,10001,123.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=0.1,beta=0.5",300,,0.1,0.5,10001,149.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=0.1,beta=1",300,,0.1,1.0,10001,438.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=0.1,beta=2",300,,0.1,2.0,10001,621.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=1,beta=0.25",300,,1.0,0.25,10001,154.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=1,beta=0.5",300,,1.0,0.5,10001,219.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=1,beta=1",300,,1.0,1.0,10001,429.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=1,beta=2",300,,1.0,2.0,10001,601.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=10,beta=0.25",300,,10.0,0.25,10001,442.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=10,beta=0.5",300,,10.0,0.5,10001,570.0,20,300,0.9346475251767731,0
