scenario,source,p,method_family,rank,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,2,10001,3482.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,4,10001,1278.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,4,10001,1374.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,4,10001,2286.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,8,10001,1293.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,8,10001,1387.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,8,10001,2228.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,16,10001,1389.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,16,10001,1498.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,16,10001,2162.0,4,100,0.822084136847368
